"location_scope","location_name","action_id","action_name","signal_type","evidence_ids","evidence_count"
Communal,Coronel,c40_0023,Adopt zero-emission bus fleets for public transport,action_aligned,f4df644f-970d-4cc9-a7a5-32e2033253c5,1
Communal,Coronel,c40_0023,Adopt zero-emission bus fleets for public transport,governance_identified,"7ed06be8-0dcf-406d-9322-a6f0485f5b8c",1
Communal,Coronel,c40_0025,Promote deployment of zero-emission freight fleets (trucks),action_aligned,f4df644f-970d-4cc9-a7a5-32e2033253c5,1
Communal,Coronel,c40_0025,Promote deployment of zero-emission freight fleets (trucks),governance_identified,"7ed06be8-0dcf-406d-9322-a6f0485f5b8c",1
Communal,Coronel,c40_0036,Upgrade Landfills to Engineered Sanitary Landfills with Gas Capture.,action_aligned,"1d916f41-03cd-438d-be80-f7be69bedfec|692460ea-b09e-4877-a072-96de1f12664d|7ee32bbd-63a9-45d8-8fe4-8225c920fc5b|9273e6bc-024e-44ae-be71-bbd06d7a1f01|b5911425-1ad1-4936-9908-1670e2591a4a|c31eb70d-828c-4bcd-9445-105d84a523c3",6
Communal,Coronel,c40_0036,Upgrade Landfills to Engineered Sanitary Landfills with Gas Capture.,governance_identified,"7ed06be8-0dcf-406d-9322-a6f0485f5b8c",1
Communal,Coronel,c40_0037,"Implement residential and business segregated collection of recyclables, organic, and residual waste",action_aligned,"00d7d8ab-3a09-40aa-99a0-196a794e0959|4de9cfe6-9a02-447a-8058-d5787019973f|50776e57-9a29-4f5b-9c3c-64d39d1c9ac0|7167984e-f424-4a98-9592-3068f5c1197d|89d3329b-e568-4d42-889f-8ab9e7951959|f8e39430-e3a5-44d8-ab79-950e44a8ee87",6
Communal,Coronel,c40_0037,"Implement residential and business segregated collection of recyclables, organic, and residual waste",governance_identified,"7ed06be8-0dcf-406d-9322-a6f0485f5b8c",1
Communal,Coronel,c40_0040,Implement Volume-Based Collection policy,action_aligned,f4df644f-970d-4cc9-a7a5-32e2033253c5,1
Communal,Coronel,c40_0040,Implement Volume-Based Collection policy,governance_identified,"7ed06be8-0dcf-406d-9322-a6f0485f5b8c",1
Communal,Coronel,icare_0023,Upgrade and maintain electrical substations,action_aligned,"1d916f41-03cd-438d-be80-f7be69bedfec|692460ea-b09e-4877-a072-96de1f12664d|7ee32bbd-63a9-45d8-8fe4-8225c920fc5b|9273e6bc-024e-44ae-be71-bbd06d7a1f01|b5911425-1ad1-4936-9908-1670e2591a4a|c31eb70d-828c-4bcd-9445-105d84a523c3",6
Communal,Coronel,icare_0023,Upgrade and maintain electrical substations,governance_identified,"7ed06be8-0dcf-406d-9322-a6f0485f5b8c",1
Communal,Coronel,icare_0045,"Promote organic, regenerative and agroecological agriculture in rural areas",action_aligned,f4df644f-970d-4cc9-a7a5-32e2033253c5,1
Communal,Coronel,icare_0045,"Promote organic, regenerative and agroecological agriculture in rural areas",governance_identified,"7ed06be8-0dcf-406d-9322-a6f0485f5b8c",1
Communal,Coronel,icare_0064,Develop an organic waste management strategy ,action_aligned,"00d7d8ab-3a09-40aa-99a0-196a794e0959|4de9cfe6-9a02-447a-8058-d5787019973f|50776e57-9a29-4f5b-9c3c-64d39d1c9ac0|7167984e-f424-4a98-9592-3068f5c1197d|89d3329b-e568-4d42-889f-8ab9e7951959|f8e39430-e3a5-44d8-ab79-950e44a8ee87",6
Communal,Coronel,icare_0064,Develop an organic waste management strategy ,governance_identified,"7ed06be8-0dcf-406d-9322-a6f0485f5b8c",1
Communal,Coronel,icare_0072,Improve Heat Recovery and Reuse through Heat Exchanger Networks or Heat Pumps,action_aligned,"00d7d8ab-3a09-40aa-99a0-196a794e0959|4de9cfe6-9a02-447a-8058-d5787019973f|50776e57-9a29-4f5b-9c3c-64d39d1c9ac0|7167984e-f424-4a98-9592-3068f5c1197d|89d3329b-e568-4d42-889f-8ab9e7951959|f8e39430-e3a5-44d8-ab79-950e44a8ee87",6
